County,# Food Insecure,% Food Insecure
average,4217470,15
Anderson,10520,18
Andrews,1480,8
Angelina,16570,19
Aransas,4100,17
Archer,1230,14
Armstrong,250,13
Atascosa,4210,9
Austin,4300,15
Bailey,800,11
Bandera,3090,15
Bastrop,10040,13
Baylor,590,16
Bee,4540,14
Bell,62960,19
Bexar,216220,11
Blanco,1450,13
Borden,80,13
Bosque,2790,16
Bowie,20180,22
Brazoria,48610,14
Brazos,43590,20
Brewster,1130,12
Briscoe,210,13
Brooks,1070,15
Brown,5980,16
Burleson,2840,16
Burnet,6100,14
Caldwell,5070,13
Calhoun,2720,13
Callahan,2240,16
Cameron,47770,11
Camp,2320,18
Carson,770,13
Cass,6340,21
Castro,750,10
Chambers,5950,15
Cherokee,9110,18
Childress,1280,18
Clay,1670,16
Cochran,380,13
Coke,510,16
Coleman,1500,18
Collin,130090,14
Collingsworth,400,13
Colorado,2850,14
Comal,15260,12
Comanche,1970,15
Concho,350,9
Cooke,6080,16
Coryell,13890,18
Cottle,270,18
Crane,410,8
Crockett,380,10
Crosby,750,13
Culberson,240,11
Dallam,900,12
Dallas,438830,17
Dawson,1590,12
Deaf Smith,1650,9
Delta,1000,19
Denton,111860,14
DeWitt,2930,14
Dickens,340,15
Dimmit,1130,10
Donley,580,17
Duval,1190,10
Eastland,3110,17
Ector,15320,10
Edwards,130,6
Ellis,22320,14
El Paso,79860,10
Erath,7250,18
Falls,3520,20
Fannin,5670,17
Fayette,3250,13
Fisher,560,15
Floyd,690,12
Foard,170,12
Fort Bend,98800,14
Franklin,1800,17
Freestone,3820,19
Frio,1680,9
Gaines,2070,10
Galveston,53270,17
Garza,710,11
Gillespie,3380,13
Glasscock,150,10
Goliad,1000,13
Gonzales,2520,12
Gray,3470,15
Grayson,21380,17
Gregg,24920,20
Grimes,4810,18
Guadalupe,17330,12
Hale,4510,13
Hall,570,18
Hamilton,1350,16
Hansford,640,12
Hardeman,630,16
Hardin,9750,17
Harris,739120,16
Harrison,13210,20
Hartley,770,13
Haskell,910,16
Hays,25740,13
Hemphill,440,11
Henderson,14200,18
Hidalgo,95430,11
Hill,5790,17
Hockley,2770,12
Hood,8480,15
Hopkins,6240,17
Houston,5160,23
Howard,4770,13
Hudspeth,500,13
Hunt,16200,18
Hutchinson,3460,16
Irion,210,13
Jack,1410,16
Jackson,2060,14
Jasper,7520,21
Jeff Davis,220,10
Jefferson,58010,23
Jim Hogg,470,9
Jim Wells,4420,11
Johnson,22440,14
Jones,3350,17
Karnes,1790,12
Kaufman,16950,15
Kendall,4560,11
Kenedy,70,12
Kent,100,15
Kerr,7110,14
Kimble,710,16
King,40,16
Kinney,320,9
Kleberg,4100,13
Knox,500,13
Lamar,9970,20
Lamb,1730,13
Lampasas,2960,15
La Salle,370,5
Lavaca,2920,15
Lee,2490,15
Leon,3050,18
Liberty,14210,18
Limestone,4500,19
Lipscomb,420,12
Live Oak,1500,13
Llano,3150,16
Loving,10,18
Lubbock,47350,16
Lynn,720,13
McCulloch,1130,14
McLennan,44960,18
McMullen,40,7
Madison,2440,17
Marion,2290,23
Martin,460,8
Mason,570,14
Matagorda,6200,17
Maverick,5740,10
Medina,4440,9
Menard,270,13
Midland,16420,10
Milam,4120,17
Mills,690,14
Mitchell,1080,12
Montague,3270,17
Montgomery,73710,14
Moore,2480,11
Morris,2770,22
Motley,170,16
Nacogdoches,14130,22
Navarro,8270,17
Newton,3050,22
Nolan,2150,14
Nueces,41660,12
Ochiltree,1030,10
Oldham,300,15
Orange,15950,19
Palo Pinto,4690,17
Panola,4510,19
Parker,17560,14
Parmer,910,9
Pecos,1290,8
Polk,8880,19
Potter,20070,17
Presidio,970,14
Rains,1810,16
Randall,17490,13
Reagan,320,9
Real,580,17
Red River,2480,20
Reeves,1040,7
Refugio,940,13
Roberts,120,13
Robertson,2930,18
Rockwall,10770,12
Runnels,1420,14
Rusk,9620,18
Sabine,2210,21
San Augustine,1970,24
San Jacinto,5010,18
San Patricio,8280,12
San Saba,870,15
Schleicher,260,9
Scurry,2130,12
Shackelford,540,16
Shelby,5280,21
Sherman,320,11
Smith,40500,18
Somervell,1480,17
Starr,8190,13
Stephens,1560,17
Sterling,130,12
Stonewall,160,14
Sutton,310,8
Swisher,1140,15
Tarrant,316980,16
Taylor,22660,17
Terrell,90,12
Terry,1460,11
Throckmorton,260,17
Titus,4990,15
Tom Green,15270,13
Travis,171740,15
Trinity,2800,19
Tyler,4150,19
Upshur,7270,18
Upton,430,12
Uvalde,2430,9
Val Verde,4580,9
Van Zandt,8690,16
Victoria,11820,13
Walker,15950,23
Waller,8770,18
Ward,1160,10
Washington,5850,17
Webb,25250,9
Wharton,6250,15
Wheeler,910,16
Wichita,24410,19
Wilbarger,2140,17
Willacy,3070,14
Williamson,63750,13
Wilson,4530,10
Winkler,820,11
Wise,9150,15
Wood,7220,17
Yoakum,610,7
Young,2820,16
Zapata,1620,11
Zavala,1730,14
